"","Branches","Junctions","End_points_Voxels","Junction_Voxels","Slab_Voxels","Average_Branch_Length","Triple_Points","Quadruple_Points","Maximum_Branch_Length","replicate","Group","Batch","sample"
"32813",0,0,1,0,0,0,0,0,0,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32814",0,0,1,0,0,0,0,0,0,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32815",1,0,2,0,1,1.929,0,0,1.929,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32816",0,0,1,0,0,0,0,0,0,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32817",0,0,1,0,0,0,0,0,0,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32818",0,0,1,0,0,0,0,0,0,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32819",1,0,2,0,0,0.965,0,0,0.965,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32820",1,0,2,0,0,0.965,0,0,0.965,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32821",1,0,2,0,2,3.348,0,0,3.348,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32822",0,0,1,0,0,0,0,0,0,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32823",1,0,2,0,0,0.965,0,0,0.965,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32824",1,0,2,0,0,1.364,0,0,1.364,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32825",0,0,1,0,0,0,0,0,0,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32826",0,0,1,0,0,0,0,0,0,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32827",1,0,2,0,1,1.4,0,0,1.4,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32828",1,0,2,0,1,2.329,0,0,2.329,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32829",3,1,3,1,19,8.32,1,0,10.635,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32830",0,0,1,0,0,0,0,0,0,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32831",0,0,1,0,0,0,0,0,0,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32832",0,0,1,0,0,0,0,0,0,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32833",1,0,2,0,0,0.965,0,0,0.965,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32834",0,0,1,0,0,0,0,0,0,"E5_PC_F3","Control",1,"797.1_E5_Control"
